Date,Description,Amount,Category,Account,Notes
2024/05/01,Kyalami Kids,4000.00,School Fees,Cash,
2024/05/01,Grace,1500.00,Grace,Cash,
2024/05/02,Vailet,4300.00,Vailet,Cash,R1300 over budget
2024/05/21,Clicks,53.90,Household,Cash,Linnen Savers
2024/05/24,Woolworths,289.98,Gifts,Cash,Mom’s Welcome Back
2024/05/25,aCoin,100.00,aCoin,Cash,Capitec ATM Deposit Test
2024/05/25,China Mall - Wig,900.00,Gifts,Cash,Wig Money
2024/05/25,McDonalds,150.00,Eating Out,Cash,
2024/05/25,Pick n Pay,2800.00,Groceries,Cash,
2024/05/25,Airport Parking,60.00,Parking,Cash,
2024/05/26,Streatery,400.00,Eating Out,Cash,
2024/05/26,BP Midrand,150.00,Snacks,Cash,Chips and shield
2024/06/03,Vailet,4200.00,Vailet,Cash,
2024/06/03,Grace,1800.00,Grace,Cash,
2024/06/04,Kyalami Kids,4000.00,School Fees,Cash,
2024/06/05,Little Kickers,1320.00,Extra Murals,Cash,
